[mju:z],"(49.2002609, 16.6072772)"
A3 pivnice,"(49.2207262, 16.5185482)"
A3 pizzeria,"(49.2207262, 16.5185482)"
ABSOLUT COCTAIL BAR,"(49.1948553, 16.611308)"
Adria - snackbar,"(49.19204, 16.6107713)"
Africana restaurant,"(49.1931846, 16.6115017)"
Aida,"(49.196912, 16.6087777)"
Air cafe,"(49.1923102, 16.6089499132576)"
Akademická vinotéka,"(49.2108174, 16.6189745)"
Al Capone PUB,"(49.1995076, 16.6019985)"
Alchymista,"(49.1996382, 16.6058636)"
ALIMENTARI ITALIA,"(49.1924111, 16.6099981)"
Aloha,"(49.1962989, 16.6095883)"
AMBRA,"(49.2087786, 16.5814866)"
Amfora,"(49.21360525, 16.6349068103753)"
Amici Delivery & Bistro,"(49.3536097, 16.4044055)"
Amsterdam Grill Bar,"(49.1936675, 16.6084858)"
ANDĚL cafe & bar,"(49.1922909, 16.6073843)"
Annapurna,"(49.1922579, 16.6122453)"
Apollo,"(49.2155775, 16.6397425)"
ARKA Restaurant,"(49.1944681, 16.5651458)"
Armen Fast food,"(49.2170681, 16.6084079)"
Astorka,"(49.1946827, 16.613025)"
Atrium - pivní bar,"(49.1927715, 16.6124114)"
Avanti hotel,"(49.2099971, 16.6066378)"
AVATÁR vegetariánská restaurace,"(49.1901907, 16.5952396)"
Avia Cafe Restaurant,"(49.20365, 16.6031259)"
Aviatik,"(49.1964603, 16.6071302)"
Bageterie Boulevard,"(49.187935, 16.6142785)"
Bar který neexistuje,"(49.1958942, 16.6099243)"
Bar restaurant Gourmand,"(49.1922579, 16.6122453)"
Bar U Leona,"(49.1997884, 16.5945661)"
Barka,"(49.1798729, 16.560468)"
Baroko,"(49.1938627, 16.6117331)"
Barracuda,"(49.2244873, 16.5976778)"
Bavorská Restaurace,"(49.2297965, 16.5918122571216)"
Besední dům,"(49.1962393, 16.6041394)"
BETA samoobslužná jídelna,"(49.19472915, 16.6084335130782)"
BIBUS Café Restaurant,"(49.147648, 16.6025747)"
Bílkova restaurace,"(49.1853746, 16.6661552)"
Billy bar,"(49.1980247, 16.5696832)"
Biskupská vinárna,"(49.1916221, 16.6060235)"
Bistro Franz,"(49.1995832, 16.6023833)"
Bistro OCEAN 48,"(49.2219696, 16.5961399)"
bistro pana Thuana Nguyena Vana,"(49.1877439, 16.650369)"
Bistro Pilát,"(49.1914999, 16.6091762)"
Bistro soul,"(49.1970601, 16.6102475)"
Bistro Toto,"(49.1961806, 16.60965)"
Bohéma,"(49.19821565, 16.6110615079641)"
Borgo Agnese,"(49.1915338, 16.6015512)"
Borneo Restaurant,"(49.1984652, 16.645463)"
BOULEVARD restaurant,"(49.2010752, 16.6085164)"
Bowling stodola,"(49.2165953, 16.5585978)"
Brabander Restaurant,"(49.1893386, 16.6029599)"
Brick Pub restaurant,"(49.2142575, 16.5728345)"
Brňák bar,"(49.2031148, 16.6107999)"
brněnský Šenk,"(49.1933212, 16.6066752)"
Buddha restaurant,"(49.2013119, 16.6135303)"
Bugatti Restaurant,"(49.2019304, 16.6067981407136)"
Butcher's restaurant,"(49.2178817, 16.5884464)"
Café 04,"(49.25663395, 16.4609337654446)"
Café 99,"(49.1967969, 16.5943969)"
