word,count
dobrý,1188
velmi,1069
příjemný,833
pivo,793
víno,749
maso,719
polévka,678
chuť,670
návštěva,616
menu,614
podnik,558
výborný,545
omáčka,526
pití,519
ještě,511
steak,507
mnoho,507
bohužel,472
cena,471
prostředí,461
vynikající,458
dva,450
rád,430
nabídka,428
dobře,414
číšník,412
skvělý,402
chutnat,396
doba,395
říct,381
hlavní,375
velký,373
lístek,367
chod,364
člověk,363
káva,358
velice,355
stol,348
přijít,344
interiér,343
další,338
předkrm,336
místo,328
host,326
brno,325
naprosto,325
atmosféra,322
domácí,315
trochu,304
dojem,302
talíř,302
hovězí,300
voda,299
dezert,296
jíst,291
čekat,291
celý,290
večer,285
vědět,283
malý,282
vždy,278
snad,270
jiný,269
zážitek,268
kuřecí,267
oběd,267
určitě,266
stát,265
stůl,265
pizza,265
chutný,264
chuťově,262
jídelní,258
zelenina,258
porce,258
chodit,257
kuchař,251
sýr,249
den,248
doporučovat,245
salát,244
problém,243
dost,242
navíc,242
kvalita,242
první,241
dobrá,240
trocha,240
každý,236
brambora,232
kuřácký,231
ovšem,230
doporučit,229
opět,229
příjemné,224
plný,222
čerstvý,222
část,218
málo,218
vybrat,217
