word,count
bohužel,55
nikdy,48
pivo,47
číšník,43
maso,35
menu,34
mnoho,32
polévka,30
čekat,29
minuta,29
člověk,28
velký,28
příjemný,27
velmi,26
návštěva,26
chuť,25
pizza,25
vědět,24
steak,24
pití,23
omáčka,23
ještě,22
donést,22
přijít,22
dojem,21
dobrý,21
cena,21
navíc,20
host,20
naprosto,19
stol,19
kuřecí,19
podnik,18
vůbec,18
přinést,18
dva,18
studený,18
říct,17
navštívit,17
další,17
doba,17
problém,16
hospoda,16
doporučovat,16
dost,16
prostředí,16
hodina,16
jiný,16
polední,16
porce,16
den,16
vrátit,15
zlý,15
dlouho,15
celý,15
talíř,15
stůl,14
pouze,14
arogantní,14
voda,14
hodnocení,14
čekání,14
kuchyň,14
chodit,14
místo,13
vidět,13
nakonec,13
vypadat,13
chápat,13
zelenina,13
dlouhý,13
salát,13
servírka,13
rozhodně,13
špenát,13
snad,13
zklamání,13
málo,12
celkový,12
hodně,12
proč,12
víno,12
začít,12
stát,12
kavárna,12
bar,12
otřesný,12
léto,12
kuchař,12
jíst,12
lístek,12
chutnat,12
jidlo,12
odejít,12
rád,12
oběd,12
pocit,11
katastrofa,11
špatný,11
večer,11
