word,count
dobrý,823
velmi,754
příjemný,613
víno,506
výborný,453
pivo,415
polévka,404
vynikající,403
chuť,380
maso,365
návštěva,354
skvělý,341
menu,336
pití,328
prostředí,321
omáčka,318
nabídka,285
podnik,285
dobře,278
rád,277
steak,270
velice,260
ještě,259
cena,256
mnoho,252
chutnat,250
chod,233
káva,232
atmosféra,232
hlavní,232
brno,226
předkrm,225
domácí,224
dva,221
interiér,214
naprosto,212
velký,207
chutný,205
hovězí,205
dezert,201
vždy,197
doporučit,190
doporučovat,189
večer,180
určitě,177
doba,174
zážitek,173
místo,171
říct,170
člověk,167
lístek,167
další,164
trochu,163
příjemné,163
malý,161
oběd,160
voda,157
výborná,155
chuťově,154
čerstvý,153
dojem,152
číšník,152
ochutnat,151
bohužel,148
jíst,148
závěr,146
celý,145
zelenina,145
pečený,144
dobré,144
porce,143
dobrá,142
talíř,141
host,139
kuřecí,138
stol,138
přijít,138
salát,137
plný,137
opět,136
kuřácký,136
rychlý,134
chodit,133
trocha,133
kvalita,133
prostě,132
výběr,131
zajímavý,131
zajít,131
den,130
grilovaný,127
každý,126
snad,125
zahrádka,125
sýr,124
krásně,124
pizza,124
jídelní,124
navíc,124
super,124
